Vehicle Name,Rate,Destination,UpdatedDate
Cont.-20 Ft.,11400,Kurakumbh,01/01/2022
LCV-17 Ft.,17300,Latur ,01/01/2022
Truck-19 Ft.,21400,Latur ,01/01/2022
Cont.-19 Ft.,23100,Latur ,01/01/2022
Cont.-20 Ft.,24800,Latur ,01/01/2022
Cont.-32 Ft.,42600,Latur ,01/01/2022
Cont.-19 Ft.,62000,Lucknow,01/01/2022
Cont.-20 Ft.,63100,Lucknow,01/01/2022
Cont.-32 Ft.,73600,Lucknow,01/01/2022
PICK UP,3900,Manchar,01/01/2022
Tempo-407,7100,Manchar,01/01/2022
LCV-709,7100,Manchar,01/01/2022
LCV-17 Ft.,7700,Manchar,01/01/2022
Truck-19 Ft.,8600,Manchar,01/01/2022
Cont.-19 Ft.,9800,Manchar,01/01/2022
Cont.-20 Ft.,10900,Manchar,01/01/2022
Cont.-19 Ft.,54000,Mathura,01/01/2022
Cont.-20 Ft.,54500,Mathura,01/01/2022
Cont.-32 Ft.,65400,Mathura,01/01/2022
LCV-709,19500,Mehsana,01/01/2022
LCV-17 Ft.,19800,Mehsana,01/01/2022
Truck-19 Ft.,21800,Mehsana,01/01/2022
Cont.-19 Ft.,27800,Mehsana,01/01/2022
Cont.-20 Ft.,30600,Mehsana,01/01/2022
LCV-709,25200,Morbi,01/01/2022
LCV-17 Ft.,25200,Morbi,01/01/2022
Cont.-20 Ft.,40300,Morbi,01/01/2022
Cont.-19 Ft.,47200,Morena,01/01/2022
Cont.-20 Ft.,48200,Morena,01/01/2022
Cont.-32 Ft.,66700,Morena,01/01/2022
PICK UP,6200,Mumbai,01/01/2022
Tempo-407,7700,Mumbai,01/01/2022
LCV-709,9500,Mumbai,01/01/2022
LCV-17 Ft.,10300,Mumbai,01/01/2022
Truck-19 Ft.,10800,Mumbai,01/01/2022
Cont.-19 Ft.,12300,Mumbai,01/01/2022
Cont.-20 Ft.,12900,Mumbai,01/01/2022
Cont.-19 Ft.,33400,Mysore,01/01/2022
Cont.-20 Ft.,34400,Mysore,01/01/2022
PICK UP,16800,Nagpur,01/01/2022
LCV-17 Ft.,21100,Nagpur,01/01/2022
Truck-19 Ft.,22600,Nagpur,01/01/2022
Cont.-19 Ft.,28700,Nagpur,01/01/2022
Cont.-20 Ft.,29800,Nagpur,01/01/2022
PICK UP,7800,Nasik,01/01/2022
Tempo-407,8200,Nasik,01/01/2022
LCV-709,8200,Nasik,01/01/2022
LCV-17 Ft.,9300,Nasik,01/01/2022
Truck-19 Ft.,9800,Nasik,01/01/2022
Cont.-19 Ft.,11800,Nasik,01/01/2022
Cont.-20 Ft.,13500,Nasik,01/01/2022
PICK UP,5600,Navi Mumbai,01/01/2022
Tempo-407,6200,Navi Mumbai,01/01/2022
LCV-709,7200,Navi Mumbai,01/01/2022
LCV-17 Ft.,8200,Navi Mumbai,01/01/2022
Truck-19 Ft.,8800,Navi Mumbai,01/01/2022
Cont.-19 Ft.,10400,Navi Mumbai,01/01/2022
Cont.-20 Ft.,11400,Navi Mumbai,01/01/2022
Cont.-19 Ft.,39700,NELLORE,01/01/2022
Cont.-20 Ft.,40700,NELLORE,01/01/2022
Cont.-19 Ft.,48300,Noida,01/01/2022
Cont.-20 Ft.,50000,Noida,01/01/2022
Cont.-32 Ft.,67000,Noida,01/01/2022
Cont.-32 Ft.9,76900,Noida,01/01/2022
Cont.-19 Ft.,44700,Palakkad,01/01/2022
Cont.-20 Ft.,46500,Palakkad,01/01/2022
Cont.-20 Ft.,51800,Panipat,01/01/2022
Cont.-32 Ft.,65600,Panipat,01/01/2022
Cont.-32 Ft.9,74900,Panipat,01/01/2022
PICK UP,6000,Patalganga,01/01/2022
Tempo-407,6700,Patalganga,01/01/2022
LCV-709,7200,Patalganga,01/01/2022
LCV-17 Ft.,8500,Patalganga,01/01/2022
Truck-19 Ft.,8800,Patalganga,01/01/2022
Cont.-19 Ft.,10300,Patalganga,01/01/2022
Cont.-20 Ft.,11300,Patalganga,01/01/2022
Cont.-19 Ft.,68400,Pathankot,01/01/2022
Cont.-20 Ft.,69600,Pathankot,01/01/2022
Cont.-32 Ft.,85000,Pathankot,01/01/2022
Cont.-32 Ft.9,95000,Pathankot,01/01/2022
Cont.-20 Ft.,81000,Patna,01/01/2022
Cont.-32 Ft.,101000,Patna,01/01/2022
Cont.-32 Ft.9,106000,Patna,01/01/2022
PICK UP,4400,Pirangut,01/01/2022
Tempo-407,5700,Pirangut,01/01/2022
LCV-709,6300,Pirangut,01/01/2022
LCV-17 Ft.,7200,Pirangut,01/01/2022
Truck-19 Ft.,7400,Pirangut,01/01/2022
Cont.-19 Ft.,8800,Pirangut,01/01/2022
Cont.-20 Ft.,9200,Pirangut,01/01/2022
Cont.-19 Ft.,23200,Pitampur,01/01/2022
Cont.-20 Ft.,24200,Pitampur,01/01/2022
Cont.-20 Ft.,62500,Ponta Sahib HP,01/01/2022
PICK UP,3100,Pune,01/01/2022
LCV-17 Ft.,23000,Rajkot,01/01/2022
Truck-19 Ft.,24500,Rajkot,01/01/2022
Cont.-19 Ft.,37000,Rajkot,01/01/2022
Cont.-20 Ft.,39800,Rajkot,01/01/2022
Cont.-19 Ft.,55900,Rajpura ,01/01/2022
Cont.-20 Ft.,56900,Rajpura ,01/01/2022
Cont.-20 Ft.,73800,Ranchi,01/01/2022
Cont.-19 Ft.,27700,Rangapur,01/01/2022
Cont.-20 Ft.,28700,Rangapur,01/01/2022
PICK UP,6500,Roha,01/01/2022
Tempo-407,7200,Roha,01/01/2022
LCV-709,8000,Roha,01/01/2022
LCV-17 Ft.,9500,Roha,01/01/2022
Truck-19 Ft.,10300,Roha,01/01/2022
Cont.-19 Ft.,12300,Roha,01/01/2022
Cont.-20 Ft.,13400,Roha,01/01/2022
Cont.-19 Ft.,55400,Ropar,01/01/2022
Cont.-20 Ft.,56400,Ropar,01/01/2022
Cont.-20 Ft.,62300,Rudrapur,01/01/2022
Cont.-32 Ft.,72300,Rudrapur,01/01/2022
Cont.-32 Ft.9,81000,Rudrapur,01/01/2022
PICK UP,5200,Sahajpur,01/01/2022
Tempo-407,6400,Sahajpur,01/01/2022
LCV-709,6900,Sahajpur,01/01/2022
LCV-17 Ft.,7400,Sahajpur,01/01/2022
Truck-19 Ft.,7900,Sahajpur,01/01/2022
Cont.-19 Ft.,9600,Sahajpur,01/01/2022
Cont.-20 Ft.,10100,Sahajpur,01/01/2022
LCV-17 Ft.,17500,Sanand,01/01/2022
Truck-19 Ft.,19500,Sanand,01/01/2022
Cont.-19 Ft.,23600,Sanand,01/01/2022
Cont.-20 Ft.,25200,Sanand,01/01/2022
Cont.-32 Ft.,35900,Sanand,01/01/2022
Cont.-20 Ft.,71600,"Shamshi, Kullu, HP",01/01/2022
Cont.-20 Ft.,90200,Siliguri,01/01/2022
Cont.-32 Ft.,120000,Siliguri,01/01/2022
Cont.-32 Ft.9,128000,Siliguri,01/01/2022
Tempo-407,7700,Silvasa,01/01/2022
LCV-709,8200,Silvasa,01/01/2022
LCV-17 Ft.,8800,Silvasa,01/01/2022
Truck-19 Ft.,9300,Silvasa,01/01/2022
Cont.-19 Ft.,15400,Silvasa,01/01/2022
Cont.-20 Ft.,15900,Silvasa,01/01/2022
Tempo-407,8200,"Silvasa, Castrol",01/01/2022
LCV-709,8800,"Silvasa, Castrol",01/01/2022
LCV-17 Ft.,9300,"Silvasa, Castrol",01/01/2022
Truck-19 Ft.,9800,"Silvasa, Castrol",01/01/2022
Cont.-19 Ft.,16000,"Silvasa, Castrol",01/01/2022
Cont.-20 Ft.,16400,"Silvasa, Castrol",01/01/2022
Cont.-19 Ft.,60000,Solan,01/01/2022
Cont.-20 Ft.,61300,Solan,01/01/2022
Cont.-19 Ft.,38700,Sricity,01/01/2022
Cont.-20 Ft.,39900,Sricity,01/01/2022
Cont.-32 Ft.,54500,Sricity,01/01/2022
Cont.-32 Ft.9,59600,Sricity,01/01/2022
Cont.-20 Ft.,66700,Sriganganagar,01/01/2022
Cont.-20 Ft.,54800,Tirunelveli,01/01/2022
Cont.-32 Ft.,83000,Tirunelveli,01/01/2022
Cont.-19 Ft.,45700,Trichy,01/01/2022
Cont.-20 Ft.,47700,Trichy,01/01/2022
Cont.-19 Ft.,61000,Trivandrum,01/01/2022
Cont.-20 Ft.,62200,Trivandrum,01/01/2022
Cont.-19 Ft.,58000,Unnao,01/01/2022
Cont.-20 Ft.,59500,Unnao,01/01/2022
LCV-709,18300,Vadodara,01/01/2022
LCV-17 Ft.,19300,Vadodara,01/01/2022
Truck-19 Ft.,20300,Vadodara,01/01/2022
Cont.-19 Ft.,23700,Vadodara,01/01/2022
Cont.-20 Ft.,24200,Vadodara,01/01/2022
Tempo-407,9300,Valsad,01/01/2022
LCV-709,9900,Valsad,01/01/2022
LCV-17 Ft.,10300,Valsad,01/01/2022
Truck-19 Ft.,10600,Valsad,01/01/2022
Cont.-19 Ft.,16000,Valsad,01/01/2022
Cont.-20 Ft.,16800,Valsad,01/01/2022
Tempo-407,7700,Vapi,01/01/2022
LCV-709,8400,Vapi,01/01/2022
LCV-17 Ft.,9100,Vapi,01/01/2022
Truck-19 Ft.,9600,Vapi,01/01/2022
Cont.-19 Ft.,15000,Vapi,01/01/2022
Cont.-20 Ft.,15700,Vapi,01/01/2022
PICK UP,7700,wada,01/01/2022
LCV-709,8200,wada,01/01/2022
LCV-17 Ft.,9800,wada,01/01/2022
Truck-19 Ft.,10600,wada,01/01/2022
Cont.-19 Ft.,11800,wada,01/01/2022
Cont.-20 Ft.,12300,wada,01/01/2022
PICK UP,4700,Wai,01/01/2022
LCV-709,6500,Wai,01/01/2022
LCV-17 Ft.,7600,Wai,01/01/2022
Truck-19 Ft.,8100,Wai,01/01/2022
Cont.-19 Ft.,10100,Wai,01/01/2022
Cont.-20 Ft.,11100,Wai,01/01/2022
